radios,mean,stdev,min,max
2,98.37,1.21,94.06,100.00
3,96.71,1.74,89.69,100.00
4,95.23,2.07,86.25,100.00
5,93.64,2.37,84.06,99.38
6,92.20,2.56,81.25,99.38
7,90.62,2.80,79.69,99.38
8,89.24,3.02,76.56,98.44
9,87.81,3.20,74.38,98.75
10,86.35,3.30,72.81,98.12
11,84.90,3.42,70.00,98.12
12,83.55,3.54,67.50,94.69
13,82.25,3.66,67.19,94.69
14,80.93,3.76,65.62,93.44
15,79.59,3.83,64.06,93.44
16,78.39,3.94,62.81,92.19
17,77.18,4.01,59.38,90.62
18,75.89,4.08,59.38,90.62
19,74.64,4.15,57.19,89.69
20,73.41,4.16,54.06,90.00
21,72.33,4.25,55.00,88.44
22,71.13,4.30,51.88,87.50
23,69.95,4.36,49.69,87.19
24,68.79,4.39,50.62,85.62
25,67.76,4.46,50.00,82.50
26,66.70,4.46,49.69,84.06
27,65.66,4.50,45.00,83.75
28,64.65,4.55,47.81,80.94
29,63.56,4.57,42.19,80.00
30,62.58,4.57,44.38,80.00
31,61.54,4.62,43.44,79.69
32,60.64,4.65,39.69,77.81
33,59.60,4.64,41.88,76.88
34,58.73,4.62,38.44,76.88
35,57.74,4.62,37.81,75.62
36,56.86,4.61,37.81,76.56
37,56.01,4.65,36.88,75.62
38,55.09,4.67,36.88,72.19
39,54.28,4.68,34.69,73.12
40,53.38,4.69,30.00,75.62
41,52.55,4.67,33.44,71.25
42,51.70,4.65,29.38,70.31
43,50.92,4.65,30.31,68.12
44,50.07,4.69,27.50,69.06
45,49.30,4.66,30.31,67.81
46,48.51,4.66,28.12,69.69
47,47.76,4.65,28.12,67.50
48,46.99,4.64,25.62,65.62
49,46.29,4.63,26.25,65.94
