radios,mean,stdev,min,max
2,98.45,1.18,93.75,100.00
3,96.89,1.69,89.06,100.00
4,95.31,2.07,86.25,100.00
5,93.96,2.30,81.25,99.69
6,92.36,2.57,81.56,99.69
7,90.89,2.80,77.19,100.00
8,89.49,2.96,78.75,98.12
9,88.18,3.16,73.44,98.44
10,86.72,3.29,73.75,97.81
11,85.38,3.38,69.06,95.31
12,84.05,3.53,69.69,95.62
13,82.77,3.60,65.00,95.94
14,81.43,3.74,64.06,94.06
15,80.23,3.81,63.44,92.81
16,78.97,3.95,58.13,93.75
17,77.72,3.96,60.94,92.19
18,76.48,4.07,60.94,93.75
19,75.26,4.11,59.06,90.31
20,74.15,4.25,56.88,90.00
21,72.97,4.25,52.19,88.75
22,71.88,4.28,52.81,87.50
23,70.71,4.35,52.19,88.12
24,69.61,4.36,49.69,85.00
25,68.58,4.40,47.81,84.38
26,67.49,4.45,47.19,84.38
27,66.37,4.51,48.44,81.56
28,65.34,4.51,48.12,83.44
29,64.31,4.56,44.38,81.56
30,63.37,4.58,43.12,81.56
31,62.33,4.60,40.31,80.00
32,61.38,4.63,41.56,78.75
33,60.38,4.61,42.19,77.50
34,59.41,4.65,39.06,76.88
35,58.55,4.63,39.38,78.75
36,57.66,4.67,37.50,77.81
37,56.66,4.68,35.00,74.69
38,55.82,4.68,35.94,74.06
39,54.94,4.68,35.31,72.81
40,54.10,4.67,35.31,74.06
41,53.26,4.69,33.44,71.25
42,52.45,4.68,34.38,72.81
43,51.64,4.67,30.63,72.19
44,50.83,4.68,30.94,71.88
45,50.01,4.69,31.56,70.62
46,49.22,4.66,30.31,68.44
47,48.48,4.66,28.75,67.19
48,47.69,4.68,28.12,67.50
49,46.96,4.64,28.75,65.94
