radios,mean,stdev,min,max
2,95.41,2.05,85.94,100.00
3,91.01,2.75,79.69,99.06
4,86.83,3.18,74.06,96.56
5,82.77,3.59,69.06,94.69
6,78.89,3.94,64.06,91.88
7,75.29,4.13,57.81,88.44
8,71.75,4.29,55.31,87.50
9,68.46,4.41,51.88,87.19
10,65.28,4.57,46.88,81.25
11,62.27,4.62,42.81,79.38
12,59.35,4.65,40.31,75.31
13,56.75,4.69,39.38,73.44
14,54.05,4.72,36.88,72.50
15,51.57,4.69,32.50,69.38
16,49.16,4.62,30.31,65.62
17,46.88,4.70,27.50,65.31
18,44.81,4.68,25.31,62.81
19,42.66,4.61,24.06,62.19
20,40.76,4.55,24.69,60.31
21,38.84,4.49,21.88,55.31
22,37.12,4.41,20.31,53.75
23,35.36,4.39,18.12,51.88
24,33.69,4.32,16.25,52.19
25,32.15,4.26,15.94,49.69
26,30.72,4.22,15.00,47.81
27,29.26,4.12,13.75,45.62
28,27.92,4.06,12.50,46.25
29,26.66,3.98,11.88,45.00
30,25.41,3.91,9.69,42.19
31,24.22,3.83,8.12,40.94
32,23.15,3.79,9.06,39.69
33,22.05,3.69,9.69,38.44
34,21.05,3.63,6.88,39.06
35,20.06,3.51,7.19,37.19
36,19.17,3.48,5.31,35.94
37,18.27,3.39,5.62,35.00
38,17.44,3.34,5.62,31.56
39,16.63,3.24,5.62,31.56
40,15.86,3.18,4.38,30.94
41,15.11,3.11,4.69,31.25
42,14.44,3.04,4.06,27.81
43,13.77,2.97,4.06,29.06
44,13.14,2.91,3.12,27.19
45,12.54,2.84,2.81,26.56
46,11.96,2.78,2.50,25.00
47,11.42,2.73,1.88,24.06
48,10.90,2.63,1.88,25.31
49,10.39,2.60,2.19,22.81
