radios,mean,stdev,min,max
2,98.41,0.71,95.61,100.00
3,96.93,0.94,91.99,99.41
4,95.38,1.17,90.82,99.41
5,93.88,1.32,87.30,98.05
6,92.48,1.44,86.72,97.17
7,91.01,1.57,84.47,96.29
8,89.55,1.69,82.03,96.29
9,88.13,1.76,80.37,94.43
10,86.79,1.83,79.20,92.38
11,85.40,1.93,77.25,91.99
12,84.06,1.99,74.71,90.92
13,82.76,2.05,74.12,90.62
14,81.47,2.12,72.27,88.87
15,80.24,2.16,70.90,89.65
16,78.94,2.21,69.82,86.72
17,77.71,2.22,67.09,86.43
18,76.49,2.30,67.87,84.47
19,75.29,2.34,65.53,84.47
20,74.15,2.36,63.67,84.77
21,72.97,2.39,63.28,81.45
22,71.83,2.45,62.30,81.74
23,70.69,2.43,61.33,79.88
24,69.59,2.47,59.86,79.00
25,68.50,2.52,56.74,79.88
26,67.45,2.50,56.54,77.15
27,66.39,2.52,52.34,77.15
28,65.35,2.54,52.73,74.61
29,64.31,2.56,52.64,74.12
30,63.33,2.59,52.83,72.95
31,62.32,2.58,51.17,72.27
32,61.34,2.60,50.59,71.48
33,60.41,2.61,49.61,70.61
34,59.44,2.62,49.12,71.19
35,58.51,2.62,48.44,69.53
36,57.60,2.63,45.02,67.68
37,56.70,2.64,46.58,67.48
38,55.83,2.63,45.12,66.50
39,54.93,2.64,43.75,65.92
40,54.09,2.66,42.29,65.33
41,53.25,2.65,42.58,63.67
42,52.44,2.64,41.89,63.09
43,51.59,2.65,40.62,61.82
44,50.78,2.63,40.33,61.62
45,50.01,2.64,38.96,62.01
46,49.21,2.64,38.09,59.28
47,48.43,2.62,37.70,59.28
48,47.68,2.63,34.96,58.40
49,46.95,2.61,36.43,59.08
