radios,mean,stdev,min,max
2,93.87,4.96,72.50,100.00
3,88.01,6.34,62.50,100.00
4,82.54,7.32,50.00,100.00
5,77.46,7.93,42.50,100.00
6,72.03,8.69,35.00,97.50
7,67.81,9.05,31.25,97.50
8,63.47,9.23,28.75,93.75
9,59.64,9.41,23.75,93.75
10,56.08,9.43,17.50,87.50
11,52.44,9.36,16.25,85.00
12,49.23,9.40,13.75,82.50
13,46.17,9.35,11.25,83.75
14,43.17,9.22,10.00,76.25
15,40.57,9.20,1.25,85.00
16,38.10,9.08,6.25,75.00
17,35.61,8.86,7.50,70.00
18,33.38,8.67,5.00,70.00
19,31.40,8.47,3.75,63.75
20,29.35,8.36,0.00,65.00
21,27.57,8.15,2.50,65.00
22,25.87,7.93,1.25,61.25
23,24.25,7.76,0.00,56.25
24,22.76,7.60,0.00,57.50
25,21.32,7.35,0.00,63.75
26,20.12,7.16,0.00,52.50
27,18.71,6.94,0.00,48.75
28,17.61,6.68,0.00,47.50
29,16.49,6.56,0.00,53.75
30,15.41,6.35,0.00,46.25
31,14.46,6.13,0.00,42.50
32,13.60,5.93,0.00,43.75
33,12.75,5.74,0.00,45.00
34,11.95,5.60,0.00,40.00
35,11.20,5.43,0.00,40.00
36,10.52,5.23,0.00,41.25
37,9.83,5.02,0.00,36.25
38,9.26,4.91,0.00,36.25
39,8.68,4.74,0.00,32.50
40,8.11,4.56,0.00,35.00
41,7.66,4.44,0.00,31.25
42,7.20,4.33,0.00,32.50
43,6.71,4.16,0.00,30.00
44,6.31,4.01,0.00,31.25
45,5.89,3.86,0.00,30.00
46,5.54,3.76,0.00,31.25
47,5.18,3.61,0.00,26.25
48,4.87,3.51,0.00,27.50
49,4.57,3.38,0.00,30.00
