radios,mean,stdev,min,max
2,93.86,4.61,77.50,100.00
3,87.86,6.45,63.75,100.00
4,82.29,7.50,50.00,100.00
5,77.20,8.12,45.00,100.00
6,72.54,8.62,35.00,97.50
7,67.94,9.01,25.00,96.25
8,63.73,9.30,22.50,97.50
9,59.74,9.34,23.75,92.50
10,56.01,9.48,17.50,93.75
11,52.47,9.51,18.75,86.25
12,49.17,9.46,15.00,86.25
13,46.05,9.33,11.25,81.25
14,43.36,9.32,10.00,83.75
15,40.57,9.19,6.25,78.75
16,37.90,9.11,7.50,73.75
17,35.67,8.84,6.25,72.50
18,33.40,8.68,3.75,77.50
19,31.36,8.50,2.50,68.75
20,29.44,8.29,2.50,63.75
21,27.49,8.11,1.25,62.50
22,25.84,7.93,2.50,58.75
23,24.17,7.72,1.25,58.75
24,22.73,7.50,0.00,52.50
25,21.30,7.31,0.00,55.00
26,19.99,7.14,0.00,50.00
27,18.84,6.99,0.00,52.50
28,17.57,6.72,0.00,46.25
29,16.50,6.54,0.00,50.00
30,15.47,6.32,0.00,45.00
31,14.50,6.16,0.00,50.00
32,13.59,5.95,0.00,43.75
33,12.73,5.80,0.00,43.75
34,11.96,5.57,0.00,45.00
35,11.23,5.40,0.00,41.25
36,10.49,5.23,0.00,38.75
37,9.92,5.06,0.00,36.25
38,9.25,4.93,0.00,38.75
39,8.70,4.74,0.00,35.00
40,8.19,4.60,0.00,30.00
41,7.65,4.44,0.00,32.50
42,7.16,4.28,0.00,35.00
43,6.72,4.15,0.00,32.50
44,6.30,4.01,0.00,28.75
45,5.92,3.89,0.00,30.00
46,5.53,3.75,0.00,28.75
47,5.22,3.62,0.00,26.25
48,4.88,3.51,0.00,23.75
49,4.56,3.38,0.00,25.00
