radios,mean,stdev,min,max
2,96.97,2.49,86.88,100.00
3,93.89,3.36,80.62,100.00
4,91.01,3.87,76.88,100.00
5,87.95,4.48,61.88,100.00
6,85.35,4.87,64.38,100.00
7,82.62,5.23,63.12,98.75
8,80.09,5.48,56.25,97.50
9,77.67,5.66,55.00,98.12
10,75.11,5.89,48.75,93.12
11,72.68,6.06,48.12,91.25
12,70.65,6.21,42.50,91.88
13,68.41,6.25,45.62,91.88
14,66.19,6.42,41.25,89.38
15,64.21,6.49,38.75,86.25
16,62.21,6.55,34.38,86.25
17,60.21,6.62,35.00,81.88
18,58.28,6.61,30.63,82.50
19,56.50,6.66,28.75,81.25
20,54.75,6.65,28.75,83.12
21,52.97,6.68,27.50,79.38
22,51.30,6.61,25.00,76.88
23,49.78,6.69,21.88,76.88
24,48.23,6.64,20.62,73.12
25,46.68,6.61,23.75,75.62
26,45.27,6.58,18.75,71.25
27,43.88,6.56,18.12,70.62
28,42.51,6.52,15.62,70.62
29,41.17,6.47,16.88,68.12
30,39.85,6.43,15.62,64.38
31,38.60,6.37,15.62,65.62
32,37.36,6.33,15.00,65.00
33,36.25,6.28,10.62,63.75
34,35.11,6.25,10.00,59.38
35,34.02,6.15,12.50,61.25
36,32.99,6.12,12.50,61.25
37,31.95,6.04,10.62,60.00
38,30.89,6.00,10.00,56.88
39,29.98,5.89,8.75,56.88
40,29.08,5.87,7.50,53.12
41,28.16,5.81,6.88,53.12
42,27.27,5.73,7.50,53.75
43,26.43,5.66,6.25,52.50
44,25.59,5.53,5.62,53.75
45,24.76,5.50,5.00,54.37
46,24.07,5.43,3.75,50.00
47,23.26,5.36,4.38,47.50
48,22.54,5.30,5.00,47.50
49,21.88,5.23,4.38,45.00
