radios,mean,stdev,min,max
2,98.43,1.22,92.81,100.00
3,96.94,1.68,88.12,100.00
4,95.31,2.08,86.25,100.00
5,93.95,2.30,84.69,100.00
6,92.42,2.54,81.25,99.38
7,91.01,2.75,80.00,98.44
8,89.47,2.96,74.69,98.12
9,88.14,3.14,75.00,97.50
10,86.75,3.28,71.56,97.19
11,85.49,3.39,71.88,95.94
12,84.10,3.54,69.38,95.94
13,82.81,3.63,68.44,94.38
14,81.53,3.75,66.25,96.25
15,80.21,3.84,64.38,94.06
16,78.96,3.92,61.25,92.50
17,77.76,4.00,61.56,91.88
18,76.53,4.08,60.62,92.19
19,75.31,4.13,57.19,91.88
20,74.13,4.24,56.88,88.44
21,73.02,4.25,54.06,88.44
22,71.84,4.27,55.31,86.56
23,70.72,4.36,51.88,88.75
24,69.59,4.38,48.75,84.69
25,68.62,4.41,48.12,85.62
26,67.47,4.45,49.06,82.81
27,66.38,4.50,47.81,84.69
28,65.33,4.54,44.69,82.50
29,64.35,4.57,45.00,82.50
30,63.36,4.59,44.69,80.31
31,62.38,4.63,41.88,82.81
32,61.38,4.62,41.56,83.12
33,60.41,4.61,41.25,80.00
34,59.46,4.64,40.62,78.75
35,58.62,4.66,38.75,75.00
36,57.58,4.67,36.25,75.62
37,56.77,4.68,36.25,74.06
38,55.84,4.67,37.19,73.75
39,55.01,4.67,34.69,73.75
40,54.11,4.70,34.69,71.88
41,53.30,4.72,32.81,71.88
42,52.46,4.69,34.06,71.88
43,51.62,4.68,33.44,70.62
44,50.87,4.70,32.19,70.62
45,50.03,4.70,30.94,68.12
46,49.30,4.69,30.63,68.12
47,48.49,4.70,26.88,68.44
48,47.73,4.69,28.12,66.25
49,47.00,4.69,26.56,67.50
