radios,mean,stdev,min,max
2,92.33,6.26,46.15,100.00
3,85.25,8.34,46.15,100.00
4,78.87,9.83,38.46,100.00
5,72.63,10.44,30.77,100.00
6,67.02,10.95,19.23,100.00
7,61.87,11.17,21.15,100.00
8,57.32,11.38,15.38,96.15
9,52.61,11.26,0.00,92.31
10,48.48,11.42,7.69,92.31
11,44.86,11.17,3.85,86.54
12,41.48,11.05,3.85,82.69
13,38.29,10.93,3.85,84.62
14,35.17,10.62,0.00,75.00
15,32.64,10.27,0.00,75.00
16,30.06,10.09,0.00,76.92
17,27.81,9.75,1.92,73.08
18,25.61,9.41,0.00,71.15
19,23.63,9.10,0.00,63.46
20,21.92,8.96,0.00,63.46
21,20.17,8.60,0.00,65.38
22,18.63,8.26,0.00,55.77
23,17.21,7.98,0.00,67.31
24,15.87,7.65,0.00,55.77
25,14.66,7.31,0.00,53.85
26,13.44,7.08,0.00,50.00
27,12.47,6.79,0.00,53.85
28,11.49,6.48,0.00,44.23
29,10.66,6.25,0.00,46.15
30,9.82,6.03,0.00,48.08
31,9.02,5.75,0.00,38.46
32,8.38,5.55,0.00,38.46
33,7.71,5.29,0.00,34.62
34,7.15,5.13,0.00,42.31
35,6.59,4.86,0.00,34.62
36,6.07,4.66,0.00,36.54
37,5.61,4.44,0.00,32.69
38,5.19,4.28,0.00,30.77
39,4.78,4.12,0.00,32.69
40,4.40,3.95,0.00,28.85
41,4.06,3.75,0.00,26.92
42,3.73,3.58,0.00,28.85
43,3.45,3.43,0.00,28.85
44,3.19,3.31,0.00,28.85
45,2.93,3.15,0.00,25.00
46,2.71,3.02,0.00,25.00
47,2.51,2.90,0.00,26.92
48,2.33,2.78,0.00,23.08
49,2.14,2.64,0.00,26.92
