radios,mean,stdev,min,max
2,94.79,4.28,70.00,100.00
3,90.16,5.59,60.00,100.00
4,85.85,6.60,62.50,100.00
5,81.53,7.18,50.00,100.00
6,77.46,7.73,46.25,100.00
7,73.55,8.38,41.25,98.75
8,69.96,8.49,33.75,96.25
9,66.29,8.77,31.25,95.00
10,63.03,8.86,32.50,92.50
11,59.73,9.03,26.25,91.25
12,57.02,9.09,21.25,91.25
13,53.98,9.16,17.50,85.00
14,51.31,9.23,18.75,87.50
15,48.70,9.13,16.25,83.75
16,46.23,8.96,10.00,80.00
17,43.98,8.98,12.50,77.50
18,41.86,8.88,11.25,75.00
19,39.61,8.79,8.75,80.00
20,37.75,8.63,10.00,70.00
21,35.89,8.58,7.50,68.75
22,33.93,8.40,6.25,73.75
23,32.32,8.26,6.25,68.75
24,30.81,8.14,2.50,63.75
25,29.21,8.04,3.75,67.50
26,27.75,7.87,1.25,68.75
27,26.35,7.67,3.75,60.00
28,24.98,7.48,2.50,57.50
29,23.84,7.35,0.00,58.75
30,22.58,7.23,2.50,56.25
31,21.48,7.05,1.25,57.50
32,20.34,6.84,0.00,50.00
33,19.40,6.76,0.00,51.25
34,18.38,6.56,0.00,55.00
35,17.54,6.44,0.00,47.50
36,16.59,6.25,0.00,50.00
37,15.79,6.11,0.00,50.00
38,14.97,5.97,0.00,47.50
39,14.27,5.82,0.00,46.25
40,13.53,5.70,0.00,41.25
41,12.81,5.56,0.00,42.50
42,12.19,5.45,0.00,41.25
43,11.64,5.28,0.00,40.00
44,11.01,5.19,0.00,40.00
45,10.46,5.03,0.00,41.25
46,9.94,4.88,0.00,40.00
47,9.45,4.75,0.00,35.00
48,8.97,4.63,0.00,33.75
49,8.52,4.50,0.00,35.00
