radios,mean,stdev,min,max
2,97.62,2.00,87.50,100.00
3,95.06,2.88,82.50,100.00
4,92.65,3.55,76.88,100.00
5,90.53,3.88,70.62,100.00
6,88.11,4.28,68.12,100.00
7,85.80,4.61,63.75,98.75
8,83.62,4.94,61.25,100.00
9,81.63,5.07,60.00,100.00
10,79.64,5.26,59.38,98.12
11,77.75,5.44,56.25,95.00
12,75.62,5.65,48.12,95.62
13,73.83,5.73,49.38,93.75
14,72.10,5.87,48.12,93.12
15,70.19,6.04,45.00,90.62
16,68.46,6.12,43.75,90.00
17,66.73,6.16,39.38,88.75
18,65.00,6.21,36.88,86.88
19,63.41,6.20,37.50,89.38
20,61.80,6.33,35.62,86.25
21,60.20,6.31,33.75,85.62
22,58.79,6.40,30.63,85.00
23,57.28,6.42,32.50,83.12
24,55.87,6.40,31.25,80.00
25,54.51,6.36,25.62,79.38
26,53.17,6.41,27.50,78.75
27,51.82,6.44,26.88,77.50
28,50.41,6.37,27.50,77.50
29,49.30,6.39,20.00,76.88
30,48.02,6.37,19.38,73.75
31,46.75,6.36,20.62,72.50
32,45.63,6.34,20.62,70.00
33,44.52,6.30,22.50,73.12
34,43.39,6.31,17.50,69.38
35,42.26,6.28,19.38,71.25
36,41.23,6.24,16.88,68.12
37,40.18,6.17,16.88,68.12
38,39.26,6.15,15.62,63.75
39,38.20,6.13,15.62,64.38
40,37.27,6.04,14.37,62.50
41,36.29,6.02,13.75,64.38
42,35.38,5.99,13.75,61.25
43,34.52,5.94,10.62,63.12
44,33.64,5.90,11.25,58.75
45,32.82,5.86,11.25,60.00
46,31.97,5.78,10.62,55.00
47,31.24,5.76,11.25,54.37
48,30.42,5.67,8.75,57.50
49,29.66,5.65,8.12,53.12
